pit_duration,lap_number,driver_number,date,session_key,meeting_key
177.2,6.0,50,2024-09-14T12:14:09.316000+00:00,9594,1245
181.0,6.0,1,2024-09-14T12:14:21.830000+00:00,9594,1245
185.1,6.0,18,2024-09-14T12:14:39.408000+00:00,9594,1245
119.4,7.0,10,2024-09-14T12:14:54.780000+00:00,9594,1245
155.7,6.0,81,2024-09-14T12:15:04.589000+00:00,9594,1245
158.7,6.0,4,2024-09-14T12:15:08.731000+00:00,9594,1245
646.8,7.0,16,2024-09-14T12:25:03.578000+00:00,9594,1245
190.8,10.0,55,2024-09-14T12:25:06.991000+00:00,9594,1245
310.9,9.0,23,2024-09-14T12:25:09.679000+00:00,9594,1245
311.1,9.0,43,2024-09-14T12:25:14.492000+00:00,9594,1245
470.7,9.0,63,2024-09-14T12:25:17.775000+00:00,9594,1245
251.1,9.0,81,2024-09-14T12:25:20.948000+00:00,9594,1245
225.2,11.0,44,2024-09-14T12:25:26.252000+00:00,9594,1245
316.9,9.0,27,2024-09-14T12:25:29.696000+00:00,9594,1245
312.7,9.0,50,2024-09-14T12:25:34.107000+00:00,9594,1245
362.7,8.0,14,2024-09-14T12:25:39.410000+00:00,9594,1245
233.6,11.0,22,2024-09-14T12:25:51.871000+00:00,9594,1245
345.6,9.0,1,2024-09-14T12:26:12.139000+00:00,9594,1245
756.5,7.0,11,2024-09-14T12:26:25.045000+00:00,9594,1245
399.6,10.0,10,2024-09-14T12:27:38.507000+00:00,9594,1245
412.4,9.0,18,2024-09-14T12:27:49.854000+00:00,9594,1245
22.6,13.0,55,2024-09-14T12:31:13.901000+00:00,9594,1245
57.8,10.0,16,2024-09-14T12:31:37.174000+00:00,9594,1245
141.3,13.0,10,2024-09-14T12:35:38.720000+00:00,9594,1245
286.7,12.0,23,2024-09-14T12:35:42.312000+00:00,9594,1245
284.7,12.0,63,2024-09-14T12:35:43.736000+00:00,9594,1245
222.7,14.0,22,2024-09-14T12:35:46.920000+00:00,9594,1245
258.7,14.0,44,2024-09-14T12:35:49.147000+00:00,9594,1245
263.2,12.0,27,2024-09-14T12:35:52.128000+00:00,9594,1245
133.2,12.0,18,2024-09-14T12:36:00.326000+00:00,9594,1245
303.0,12.0,43,2024-09-14T12:36:09.858000+00:00,9594,1245
274.8,12.0,50,2024-09-14T12:36:16.572000+00:00,9594,1245
268.9,11.0,14,2024-09-14T12:36:29.028000+00:00,9594,1245
