brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
100,2024-02-29T12:12:30.382000+00:00,77,12,1229,8,10679,9465,302,100
0,2024-02-29T12:05:31.620000+00:00,77,12,1229,8,10997,9465,309,100
0,2024-02-29T12:26:20.744000+00:00,77,12,1229,8,10832,9465,305,100
0,2024-02-29T12:11:37.301000+00:00,77,12,1229,8,10988,9465,304,100
0,2024-02-29T11:43:16.695000+00:00,77,12,1229,8,10776,9465,305,100
0,2024-02-29T11:51:40.018000+00:00,77,12,1229,8,10740,9465,301,100
0,2024-02-29T11:47:00.456000+00:00,77,12,1229,8,10904,9465,307,100
0,2024-02-29T12:05:28.780000+00:00,77,12,1229,8,10763,9465,302,100
0,2024-02-29T11:56:22.339000+00:00,81,12,1229,8,10763,9465,303,99
0,2024-02-29T11:40:56.895000+00:00,81,12,1229,8,10834,9465,308,99
0,2024-02-29T11:36:58.855000+00:00,81,12,1229,8,10685,9465,302,99
0,2024-02-29T11:36:59.575000+00:00,81,12,1229,8,10677,9465,303,99
0,2024-02-29T11:56:20.539000+00:00,81,12,1229,8,10619,9465,301,99
0,2024-02-29T12:02:38.860000+00:00,81,12,1229,8,10535,9465,300,99
0,2024-02-29T11:41:12.576000+00:00,81,12,1229,8,10592,9465,300,99
0,2024-02-29T11:56:21.659000+00:00,81,12,1229,8,10728,9465,303,99
0,2024-02-29T12:03:34.060000+00:00,81,12,1229,8,10634,9465,302,99
0,2024-02-29T11:40:54.016000+00:00,81,12,1229,8,10743,9465,303,99
0,2024-03-01T13:20:41.395000+00:00,1,12,1229,8,10982,9466,311,100
0,2024-03-01T12:51:12.189000+00:00,1,12,1229,8,10906,9466,308,100
0,2024-02-29T15:10:17.055000+00:00,1,12,1229,8,11102,9466,312,100
0,2024-03-01T12:56:41.870000+00:00,1,12,1229,8,10681,9466,300,100
0,2024-02-29T15:16:33.376000+00:00,1,12,1229,8,11009,9466,310,100
0,2024-03-01T13:19:44.955000+00:00,1,12,1229,8,10716,9466,301,100
0,2024-02-29T15:28:29.138000+00:00,1,12,1229,8,11130,9466,316,100
0,2024-02-29T15:16:30.935000+00:00,1,12,1229,8,10701,9466,300,100
0,2024-02-29T15:16:35.495000+00:00,1,12,1229,8,11116,9466,314,100
0,2024-03-01T13:20:40.115000+00:00,1,12,1229,8,10777,9466,301,100
0,2024-03-01T12:53:04.550000+00:00,2,12,1229,8,11100,9466,312,100
0,2024-02-29T15:58:11.744000+00:00,2,8,1229,8,10754,9466,300,100
0,2024-02-29T15:59:49.944000+00:00,2,8,1229,8,10813,9466,301,100
0,2024-02-29T15:03:30.333000+00:00,2,12,1229,8,11208,9466,316,100
0,2024-02-29T15:23:12.336000+00:00,2,12,1229,8,11208,9466,314,100
0,2024-02-29T15:07:06.654000+00:00,2,12,1229,8,11318,9466,318,100
0,2024-03-01T12:53:06.429000+00:00,2,12,1229,8,11031,9466,309,100
0,2024-02-29T15:23:12.817000+00:00,2,12,1229,8,11226,9466,313,100
0,2024-02-29T15:23:09.457000+00:00,2,12,1229,8,10850,9466,303,100
0,2024-03-01T12:53:05.269000+00:00,2,12,1229,8,11270,9466,312,100
0,2024-02-29T15:29:53.818000+00:00,3,12,1229,8,10972,9466,310,100
0,2024-02-29T15:07:44.973000+00:00,3,12,1229,8,10787,9466,302,100
0,2024-02-29T15:29:55.698000+00:00,3,12,1229,8,11165,9466,315,100
0,2024-02-29T15:24:08.377000+00:00,3,12,1229,8,11046,9466,311,100
0,2024-03-01T13:22:33.556000+00:00,3,12,1229,8,11145,9466,313,100
0,2024-03-01T13:01:13.231000+00:00,3,12,1229,8,10873,9466,306,100
0,2024-03-01T13:01:14.952000+00:00,3,12,1229,8,10943,9466,308,100
0,2024-02-29T15:29:57.058000+00:00,3,12,1229,8,11288,9466,317,100
0,2024-02-29T15:03:56.213000+00:00,3,10,1229,8,10431,9466,302,12
0,2024-03-01T12:54:29.470000+00:00,3,12,1229,8,10992,9466,311,100
0,2024-03-01T12:48:37.909000+00:00,4,14,1229,8,10672,9466,304,98
0,2024-03-01T13:03:35.432000+00:00,4,14,1229,8,10722,9466,304,98
0,2024-03-01T13:30:52.517000+00:00,4,8,1229,8,10585,9466,302,4
0,2024-02-29T15:09:07.414000+00:00,4,14,1229,8,10881,9466,309,98
0,2024-02-29T15:46:59.461000+00:00,4,14,1229,8,10831,9466,306,98
0,2024-02-29T15:48:37.101000+00:00,4,14,1229,8,11057,9466,312,98
0,2024-02-29T15:23:20.857000+00:00,4,14,1229,8,10923,9466,311,98
0,2024-03-01T12:48:35.469000+00:00,4,14,1229,8,10667,9466,303,98
0,2024-02-29T15:06:08.774000+00:00,4,10,1229,8,10705,9466,302,94
0,2024-03-01T13:16:58.554000+00:00,4,14,1229,8,10683,9466,302,98
0,2024-03-01T12:56:34.590000+00:00,10,12,1229,8,11145,9466,312,100
0,2024-03-01T13:03:09.072000+00:00,10,12,1229,8,10894,9466,304,100
